run_id,scenario,variant,live_seed,minute,active_requests,queued_requests
concurrency_dqn_train44_live1004,concurrency,dqn,1004,4.0,5.0,0.0
concurrency_dqn_train44_live1004,concurrency,dqn,1004,4.5,5.0,0.0
concurrency_dqn_train44_live1004,concurrency,dqn,1004,5.0,6.0,0.0
concurrency_dqn_train44_live1004,concurrency,dqn,1004,5.5,7.0,0.0
concurrency_dqn_train44_live1004,concurrency,dqn,1004,6.0,7.0,0.0
concurrency_dqn_train44_live1004,concurrency,dqn,1004,6.5,7.0,1.0
concurrency_dqn_train44_live1004,concurrency,dqn,1004,7.0,7.0,1.0
concurrency_dqn_train44_live1004,concurrency,dqn,1004,7.5,8.0,1.0
concurrency_dqn_train44_live1004,concurrency,dqn,1004,8.0,8.0,2.0
concurrency_dqn_train44_live1004,concurrency,dqn,1004,8.5,8.0,2.0
concurrency_dqn_train44_live1004,concurrency,dqn,1004,9.0,9.0,2.0
concurrency_dqn_train44_live1004,concurrency,dqn,1004,9.5,9.0,2.0
concurrency_dqn_train44_live1004,concurrency,dqn,1004,10.0,9.0,3.0
concurrency_dqn_train44_live1004,concurrency,dqn,1004,10.5,9.0,3.0
concurrency_dqn_train44_live1004,concurrency,dqn,1004,11.0,9.0,4.0
concurrency_dqn_train44_live1004,concurrency,dqn,1004,11.5,9.0,4.0
concurrency_dqn_train44_live1004,concurrency,dqn,1004,12.0,10.0,4.0
concurrency_dqn_train44_live1004,concurrency,dqn,1004,12.5,10.0,4.0
concurrency_dqn_train44_live1004,concurrency,dqn,1004,13.0,10.0,5.0
concurrency_dqn_train44_live1004,concurrency,dqn,1004,13.5,10.0,5.0
concurrency_dqn_train44_live1004,concurrency,dqn,1004,14.0,11.0,5.0
concurrency_dqn_train44_live1004,concurrency,dqn,1004,14.5,11.0,6.0
concurrency_dqn_train44_live1004,concurrency,dqn,1004,15.0,11.0,6.0
concurrency_dqn_train44_live1004,concurrency,dqn,1004,15.5,11.0,7.0
concurrency_dqn_train44_live1004,concurrency,dqn,1004,16.0,11.0,7.0
concurrency_dqn_train44_live1004,concurrency,dqn,1004,16.5,11.0,8.0
concurrency_dqn_train44_live1004,concurrency,dqn,1004,17.0,11.0,9.0
concurrency_dqn_train44_live1004,concurrency,dqn,1004,17.5,11.0,10.0
concurrency_dqn_train44_live1004,concurrency,dqn,1004,18.0,11.0,10.0
concurrency_dqn_train44_live1004,concurrency,dqn,1004,18.5,11.0,11.0
concurrency_dqn_train44_live1004,concurrency,dqn,1004,19.0,11.0,11.0
concurrency_dqn_train44_live1004,concurrency,dqn,1004,19.5,11.0,12.0
concurrency_dqn_train44_live1004,concurrency,dqn,1004,20.0,11.0,13.0
concurrency_dqn_train44_live1004,concurrency,dqn,1004,20.5,11.0,14.0
concurrency_dqn_train44_live1004,concurrency,dqn,1004,21.0,11.0,14.0
concurrency_dqn_train44_live1004,concurrency,dqn,1004,21.5,11.0,15.0
concurrency_dqn_train44_live1004,concurrency,dqn,1004,22.0,11.0,15.0
concurrency_dqn_train44_live1004,concurrency,dqn,1004,22.5,11.0,16.0
concurrency_dqn_train44_live1004,concurrency,dqn,1004,23.0,11.0,17.0
concurrency_dqn_train44_live1004,concurrency,dqn,1004,23.5,11.0,17.0
concurrency_dqn_train44_live1004,concurrency,dqn,1004,24.0,11.0,18.0
concurrency_dqn_train44_live1004,concurrency,dqn,1004,24.5,11.0,18.0
