run_id,scenario,variant,live_seed,minute,cumulative_reward
concurrency_ppo_train11_live1001,concurrency,ppo,1001,4.0,58.816969562135974
concurrency_ppo_train11_live1001,concurrency,ppo,1001,4.5,72.32464328647919
concurrency_ppo_train11_live1001,concurrency,ppo,1001,5.0,86.82550489223107
concurrency_ppo_train11_live1001,concurrency,ppo,1001,5.5,102.2005484476842
concurrency_ppo_train11_live1001,concurrency,ppo,1001,6.0,112.26007218024633
concurrency_ppo_train11_live1001,concurrency,ppo,1001,6.5,120.32282287423328
concurrency_ppo_train11_live1001,concurrency,ppo,1001,7.0,123.39108196440826
concurrency_ppo_train11_live1001,concurrency,ppo,1001,7.5,126.1290287368266
concurrency_ppo_train11_live1001,concurrency,ppo,1001,8.0,129.1270007473736
concurrency_ppo_train11_live1001,concurrency,ppo,1001,8.5,131.98682987273318
concurrency_ppo_train11_live1001,concurrency,ppo,1001,9.0,134.76101193926917
concurrency_ppo_train11_live1001,concurrency,ppo,1001,9.5,137.48797831953064
concurrency_ppo_train11_live1001,concurrency,ppo,1001,10.0,140.32584666057647
concurrency_ppo_train11_live1001,concurrency,ppo,1001,10.5,143.15822480554382
concurrency_ppo_train11_live1001,concurrency,ppo,1001,11.0,145.93350491129542
concurrency_ppo_train11_live1001,concurrency,ppo,1001,11.5,148.79916736998825
concurrency_ppo_train11_live1001,concurrency,ppo,1001,12.0,151.4743886522105
concurrency_ppo_train11_live1001,concurrency,ppo,1001,12.5,154.2879628756092
concurrency_ppo_train11_live1001,concurrency,ppo,1001,13.0,157.11690964802756
concurrency_ppo_train11_live1001,concurrency,ppo,1001,13.5,159.88601328319095
concurrency_ppo_train11_live1001,concurrency,ppo,1001,14.0,162.80994073993494
concurrency_ppo_train11_live1001,concurrency,ppo,1001,14.5,165.92234432839285
concurrency_ppo_train11_live1001,concurrency,ppo,1001,15.0,168.69693815963475
concurrency_ppo_train11_live1001,concurrency,ppo,1001,15.5,171.46055159871975
concurrency_ppo_train11_live1001,concurrency,ppo,1001,16.0,174.5148676077769
concurrency_ppo_train11_live1001,concurrency,ppo,1001,16.5,177.26859869392078
concurrency_ppo_train11_live1001,concurrency,ppo,1001,17.0,180.23244927361242
concurrency_ppo_train11_live1001,concurrency,ppo,1001,17.5,183.2891969860968
concurrency_ppo_train11_live1001,concurrency,ppo,1001,18.0,186.07147709184852
concurrency_ppo_train11_live1001,concurrency,ppo,1001,18.5,189.06587149092974
concurrency_ppo_train11_live1001,concurrency,ppo,1001,19.0,192.0564488189743
concurrency_ppo_train11_live1001,concurrency,ppo,1001,19.5,194.85684657178479
concurrency_ppo_train11_live1001,concurrency,ppo,1001,20.0,197.6314404030267
